location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
125691e37e6a2a9d:1,src/numafunc2.c,2632,17,-1,18,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
dcf2084c55cd5e11:1,src/recogident.c,1709,21,-1,22,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
8f587c080f8570a:1,src/utils2.c,1131,13,-1,14,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
593affafbaa42c0c:1,src/blend.c,328,5,444,6,cpp/long-switch,Long switch case,"Switch has at least one case that is too long: [L_BLEND_WITH_INVERSE (38 lines)](1).
Switch has at least one case that is too long: [L_BLEND_TO_WHITE (35 lines)](2).
Switch has at least one case that is too long: [L_BLEND_TO_BLACK (35 lines)](3).",,LOW
7373a725bbb85742:1,src/grayquant.c,534,5,634,6,cpp/long-switch,Long switch case,"Switch has at least one case that is too long: [4 (54 lines)](1).
Switch has at least one case that is too long: [8 (39 lines)](2).",,LOW
911ee548d53a4e3a:1,src/pnmio.c,177,5,497,6,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [7 (212 lines)](1).,,LOW
b8adec95387106b8:1,src/pnmio.c,288,13,388,14,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [4 (33 lines)](1).,,LOW
f86688321f8fdfa3:1,src/pnmio.c,395,13,494,14,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [4 (33 lines)](1).,,LOW
fd010c1427f2e2b:1,src/pixconv.c,420,13,553,14,cpp/long-switch,Long switch case,"Switch has at least one case that is too long: [2 (38 lines)](1).
Switch has at least one case that is too long: [1 (33 lines)](2).",,LOW
28b1ddd8adb14bf8:1,src/roplow.c,1491,5,2116,6,cpp/long-switch,Long switch case,"Switch has at least one case that is too long: [12 (49 lines)](1).
Switch has at least one case that is too long: [... ^ ... (49 lines)](2).
Switch has at least one case that is too long: [... | ... (51 lines)](3).
Switch has at least one case that is too long: [... & ... (51 lines)](4).
Switch has at least one case that is too long: [... ^ ... (51 lines)](5).
Switch has at least one case that is too long: [... | ... (51 lines)](6).
Switch has at least one case that is too long: [... & ... (51 lines)](7).
Switch has at least one case that is too long: [... | ... (51 lines)](8).
Switch has at least one case that is too long: [... & ... (51 lines)](9).
Switch has at least one case that is too long: [... ^ ... (51 lines)](10).
Switch has at least one case that is too long: [... ^ ... (52 lines)](11).
Switch has at least one case that is too long: [... ^ ... (51 lines)](12).",,LOW
4d3f58094836f497:1,src/roplow.c,920,5,1293,6,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [... ^ ... (31 lines)](1).,,LOW
733f0776a670e320:1,src/seedfill.c,2863,5,2970,6,cpp/long-switch,Long switch case,"Switch has at least one case that is too long: [4 (42 lines)](1).
Switch has at least one case that is too long: [8 (58 lines)](2).",,LOW
e4d555e3af1f1849:1,src/seedfill.c,2600,5,2740,6,cpp/long-switch,Long switch case,"Switch has at least one case that is too long: [4 (59 lines)](1).
Switch has at least one case that is too long: [8 (75 lines)](2).",,LOW
