location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
8fd790b1a8025d2e:1,include/curl/curl.h,2470,14,-1,15,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
79827260f557bb71:1,lib/wildcard.h,30,14,-1,15,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
b955fdfd21527dd9:1,lib/http_chunks.h,68,14,-1,15,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
7128ee857ed07da1:1,lib/ssh.h,38,14,-1,15,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
95b2864f04c80fc0:1,lib/tftp.c,102,14,-1,15,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
1d030db64722f1a7:1,src/tool_cfgable.h,30,14,-1,15,cpp/irregular-enum-init,Irregular enum initialization,"In an enumerator list, the = construct should not be used to explicitly initialize members other than the first, unless all items are explicitly initialized.",,LOW
e13b2f1c667d4507:1,lib/getinfo.c,402,3,408,4,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
306199fc52e0c960:1,lib/ftp.c,1076,5,1085,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
ba58e10801c5c57:1,lib/telnet.c,1013,3,1055,4,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
402ff83cbbc5f04e:1,lib/telnet.c,764,5,815,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
1585acd9ff2b6aac:1,src/tool_getparam.c,1642,7,1649,8,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
78ab77929aac89c3:1,src/tool_getparam.c,1762,7,1768,8,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
a36c4269390f48e1:1,src/tool_getparam.c,2051,7,2060,8,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
a31cc8817decd23a:1,lib/cookie.c,786,11,-1,14,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
ddd7e0f481f6ad78:1,lib/curl_path.c,142,9,-1,10,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
617f5044430d67b0:1,lib/curl_path.c,151,9,-1,10,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
87de74d8284d8b00:1,lib/pingpong.c,391,13,-1,14,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
f5f6ed654dc41fe3:1,lib/url.c,2575,11,-1,20,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
41156fbc56608276:1,lib/url.c,2591,11,-1,20,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
3609fdbd5102f2ba:1,src/tool_getparam.c,2186,11,-1,12,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
42f134b59bd62d83:1,src/tool_paramhlp.c,323,16,-1,21,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
94fd1035363989f4:1,lib/vtls/openssl.c,2823,9,-1,10,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
97190bbf78c28207:1,lib/vtls/openssl.c,2826,9,-1,10,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
3ebaa05991eda4e8:1,lib/content_encoding.c,455,3,540,4,cpp/long-switch,Long switch case,"Switch has at least one case that is too long: [ZLIB_INIT (37 lines)](1).
Switch has at least one case that is too long: [ZLIB_GZIP_HEADER (33 lines)](2).",,LOW
