location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
d76f7ad51241b853:1,libarchive/archive_read_support_filter_bzip2.c,348,3,356,4,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
218c41df334a0ab6:1,libarchive/archive_read_support_filter_bzip2.c,308,4,316,5,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
52c6de74ff46090f:1,libarchive/archive_read_support_filter_gzip.c,519,3,527,4,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
1acd4c4aa6c41885:1,libarchive/archive_read_support_filter_gzip.c,401,2,409,3,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
25253d60ddb6ee31:1,libarchive/archive_read_support_format_7zip.c,1429,4,1437,5,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
68d20fbb358949f5:1,libarchive/archive_read_support_format_cab.c,1596,2,1605,3,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
cfea47a77fe4b8ef:1,libarchive/archive_read_support_format_lha.c,1357,5,1366,6,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
fdeb8a2dd50ee8b9:1,libarchive/archive_read_support_format_rar5.c,2061,2,2077,3,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
a32f74b4f8aac2be:1,libarchive/archive_string_sprintf.c,146,4,161,5,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
dc3aa2f2aee21e48:1,libarchive/archive_read_support_format_zip.c,3395,2,3439,3,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
5c8b962c72ca8547:1,libarchive/archive_read_support_format_zip.c,2203,4,2212,5,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
e332010eb0e78276:1,libarchive/archive_write_add_filter_bzip2.c,272,2,279,3,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
e67b9227cbf4f439:1,libarchive/archive_write_add_filter_gzip.c,329,2,336,3,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
5fe39eab87e30dd5:1,libarchive/archive_write_add_filter_xz.c,288,2,299,3,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
a369e519a571fd9:1,libarchive/archive_read_support_format_xar.c,1641,4,1649,5,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
72767d342115c378:1,libarchive_fe/passphrase.c,323,3,329,4,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
3ca15d11963b650e:1,cpio/cpio.c,504,5,-1,6,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
cb6596990aba33f6:1,libarchive/archive_pathmatch.c,454,5,-1,6,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
9cf2aedcc88c9858:1,libarchive/archive_pathmatch.c,412,5,-1,6,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
b48b9e5117e9ff67:1,libarchive/archive_read_support_format_ar.c,563,5,-1,6,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
6eb9609aca76f032:1,libarchive/archive_read_support_format_mtree.c,2137,8,-1,9,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
2f15626eac9c78e:1,libarchive/archive_read_support_format_rar.c,3608,7,-1,8,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
f32b3969455582be:1,libarchive/archive_string_sprintf.c,116,3,-1,4,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
3060af705120a85b:1,libarchive/archive_string_sprintf.c,124,4,-1,5,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
