location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
eb009c8e3219f93c:1,src/der.h,-1,-1,-1,-1,cpp/missing-header-guard,Missing header guard,This header file should contain a header guard to prevent multiple inclusion.,,LOW
24e320d40cb829b5:1,src/apprentice.c,2605,3,2610,4,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
9c3618403b087a6b:1,src/apprentice.c,1728,3,1738,4,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
3fcc8a678aba3976:1,src/compress.c,361,3,370,4,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
bc3849fe7da0637d:1,src/readelf.c,1417,3,1430,4,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
5c20230047668ae1:1,src/readelf.c,1025,2,1042,3,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
8c20d2075225044f:1,src/softmagic.c,547,3,559,4,cpp/trivial-switch,No trivial switch statements,"This switch statement should either handle more cases, or be rewritten as an if statement.",,LOW
ea7a77a4f94249c7:1,src/cdf.c,1102,4,-1,5,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
f50f14d7b847cbce:1,src/encoding.c,410,5,-1,6,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
72bd11f32f87ed09:1,src/apprentice.c,1313,13,-1,14,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
28e74e6b89f8daa3:1,src/funcs.c,96,10,-1,11,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
d9b8f4aa95e935ae:1,src/funcs.c,100,4,-1,5,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
725c679b171bb644:1,src/funcs.c,111,4,-1,5,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
c091988ea2a396ec:1,src/apprentice.c,1046,8,-1,16,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
709faa8bf8bc8eda:1,src/apprentice.c,1058,5,-1,13,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
57777063d67de4c7:1,src/apprentice.c,776,12,-1,13,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
8d0cb5195006dae4:1,src/apprentice.c,777,5,-1,6,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
a9b49959acd63cec:1,src/apprentice.c,789,5,-1,6,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
56bb2d3f9b20c050:1,src/apprentice.c,790,4,-1,5,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
